_time,Load (kW)
2024-08-24 16:00:00+02:00,1032.601058
2024-08-24 17:00:00+02:00,1114.36812
2024-08-24 18:00:00+02:00,1201.552075
2024-08-24 19:00:00+02:00,1262.434709
2024-08-24 20:00:00+02:00,1059.158723
2024-08-24 21:00:00+02:00,1097.171861
2024-08-24 22:00:00+02:00,1009.798248
2024-08-24 23:00:00+02:00,771.8956711
2024-08-25 00:00:00+02:00,767.7058556
2024-08-25 01:00:00+02:00,582.2052567
2024-08-25 02:00:00+02:00,507.1224539
2024-08-25 03:00:00+02:00,481.731383
2024-08-25 04:00:00+02:00,453.4541321
2024-08-25 05:00:00+02:00,432.9871653
2024-08-25 06:00:00+02:00,750.0243879
2024-08-25 07:00:00+02:00,688.5058147
2024-08-25 08:00:00+02:00,989.5966477
2024-08-25 09:00:00+02:00,1048.955227
2024-08-25 10:00:00+02:00,1096.973392
2024-08-25 11:00:00+02:00,1078.381358
2024-08-25 12:00:00+02:00,1061.636107
2024-08-25 13:00:00+02:00,1041.182703
2024-08-25 14:00:00+02:00,955.5745444
2024-08-25 15:00:00+02:00,970.3607045
2024-08-25 16:00:00+02:00,1100.957801
2024-08-25 17:00:00+02:00,1044.994094
2024-08-25 18:00:00+02:00,947.3678954
2024-08-25 19:00:00+02:00,970.434549
2024-08-25 20:00:00+02:00,739.32028
2024-08-25 21:00:00+02:00,780.99887
2024-08-25 22:00:00+02:00,698.6962491
2024-08-25 23:00:00+02:00,536.0885659
