_time,Energy price (PLN/MWh),PV_3MW_generation (kWh)
2024-09-01 06:00:00+02:00,266,0
2024-09-01 07:00:00+02:00,494,9.600000143
2024-09-01 08:00:00+02:00,649,125.3999977
2024-09-01 09:00:00+02:00,650,228.9000092
2024-09-01 10:00:00+02:00,494,276.6000137
2024-09-01 11:00:00+02:00,444,731.7000275
2024-09-01 12:00:00+02:00,391,1175.100037
2024-09-01 13:00:00+02:00,356,1673.100037
2024-09-01 14:00:00+02:00,359,1995.600037
2024-09-01 15:00:00+02:00,372,2106
2024-09-01 16:00:00+02:00,394,2070.899963
2024-09-01 17:00:00+02:00,500,1779
2024-09-01 18:00:00+02:00,604,1326.300018
2024-09-01 19:00:00+02:00,850,732.5999908
2024-09-01 20:00:00+02:00,940,127.8000069
2024-09-01 21:00:00+02:00,662,6.600000143
2024-09-01 22:00:00+02:00,500,6
2024-09-01 23:00:00+02:00,400,0
